SessionID,Severity,Code,Name,Description,ParentFile,Line,Column,Code Unit Database,Code Unit Schema,Code Unit Package,Code Unit Name,Code Unit Id,Code Unit,Code Unit Size,SourceLanguage,MigrationID
6eb54011-ba58-4fdb-84b6-d39159932fda,None,SSC-FDM-0007,Element with missing dependencies,"MISSING DEPENDENT OBJECT ""Planning.usp_ExecuteCostAllocation""",database_unspecified/planning/procedure/usp_performfinancialclose.sql,30,2,N/A,Planning,N/A,"usp_PerformFinancialClose(INT,VARCHAR,BIT,BIT,BIT,BIT,NVARCHAR,BIT,INT,XML,VARCHAR)","Planning.usp_PerformFinancialClose(INT,VARCHAR,BIT,BIT,BIT,BIT,NVARCHAR,BIT,INT,XML,VARCHAR)",CREATE PROCEDURE,M,Transact,DZ2dAbBcX3Skb4MNB+rC+Q==
6eb54011-ba58-4fdb-84b6-d39159932fda,None,SSC-FDM-TS0016,XML columns in Snowflake might have a different format,XML COLUMNS IN SNOWFLAKE MIGHT HAVE A DIFFERENT FORMAT,database_unspecified/planning/procedure/usp_performfinancialclose.sql,469,13,N/A,Planning,N/A,"usp_PerformFinancialClose(INT,VARCHAR,BIT,BIT,BIT,BIT,NVARCHAR,BIT,INT,XML,VARCHAR)","Planning.usp_PerformFinancialClose(INT,VARCHAR,BIT,BIT,BIT,BIT,NVARCHAR,BIT,INT,XML,VARCHAR)",CREATE PROCEDURE,M,Transact,DZ2dAbBcX3Skb4MNB+rC+Q==
6eb54011-ba58-4fdb-84b6-d39159932fda,High,SSC-EWI-0108,This subquery matches a pattern considered invalid and may cause compilation errors,THE FOLLOWING SUBQUERY MATCHES AT LEAST ONE OF THE PATTERNS CONSIDERED INVALID AND MAY PRODUCE COMPILATION ERRORS,database_unspecified/planning/procedure/usp_performfinancialclose.sql,500,13,N/A,Planning,N/A,"usp_PerformFinancialClose(INT,VARCHAR,BIT,BIT,BIT,BIT,NVARCHAR,BIT,INT,XML,VARCHAR)","Planning.usp_PerformFinancialClose(INT,VARCHAR,BIT,BIT,BIT,BIT,NVARCHAR,BIT,INT,XML,VARCHAR)",CREATE PROCEDURE,M,Transact,DZ2dAbBcX3Skb4MNB+rC+Q==
6eb54011-ba58-4fdb-84b6-d39159932fda,None,SSC-FDM-TS0016,XML columns in Snowflake might have a different format,XML COLUMNS IN SNOWFLAKE MIGHT HAVE A DIFFERENT FORMAT,database_unspecified/planning/procedure/usp_performfinancialclose.sql,502,21,N/A,Planning,N/A,"usp_PerformFinancialClose(INT,VARCHAR,BIT,BIT,BIT,BIT,NVARCHAR,BIT,INT,XML,VARCHAR)","Planning.usp_PerformFinancialClose(INT,VARCHAR,BIT,BIT,BIT,BIT,NVARCHAR,BIT,INT,XML,VARCHAR)",CREATE PROCEDURE,M,Transact,DZ2dAbBcX3Skb4MNB+rC+Q==
6eb54011-ba58-4fdb-84b6-d39159932fda,High,SSC-EWI-0108,This subquery matches a pattern considered invalid and may cause compilation errors,THE FOLLOWING SUBQUERY MATCHES AT LEAST ONE OF THE PATTERNS CONSIDERED INVALID AND MAY PRODUCE COMPILATION ERRORS,database_unspecified/planning/procedure/usp_performfinancialclose.sql,506,21,N/A,Planning,N/A,"usp_PerformFinancialClose(INT,VARCHAR,BIT,BIT,BIT,BIT,NVARCHAR,BIT,INT,XML,VARCHAR)","Planning.usp_PerformFinancialClose(INT,VARCHAR,BIT,BIT,BIT,BIT,NVARCHAR,BIT,INT,XML,VARCHAR)",CREATE PROCEDURE,M,Transact,DZ2dAbBcX3Skb4MNB+rC+Q==
6eb54011-ba58-4fdb-84b6-d39159932fda,None,SSC-FDM-0002,Correlated Subquery May Have Functional Differences.,CORRELATED SUBQUERIES MAY HAVE SOME FUNCTIONAL DIFFERENCES.,database_unspecified/planning/procedure/usp_performfinancialclose.sql,506,21,N/A,Planning,N/A,"usp_PerformFinancialClose(INT,VARCHAR,BIT,BIT,BIT,BIT,NVARCHAR,BIT,INT,XML,VARCHAR)","Planning.usp_PerformFinancialClose(INT,VARCHAR,BIT,BIT,BIT,BIT,NVARCHAR,BIT,INT,XML,VARCHAR)",CREATE PROCEDURE,M,Transact,DZ2dAbBcX3Skb4MNB+rC+Q==
6eb54011-ba58-4fdb-84b6-d39159932fda,High,SSC-EWI-0108,This subquery matches a pattern considered invalid and may cause compilation errors,THE FOLLOWING SUBQUERY MATCHES AT LEAST ONE OF THE PATTERNS CONSIDERED INVALID AND MAY PRODUCE COMPILATION ERRORS,database_unspecified/planning/procedure/usp_performfinancialclose.sql,505,21,N/A,Planning,N/A,"usp_PerformFinancialClose(INT,VARCHAR,BIT,BIT,BIT,BIT,NVARCHAR,BIT,INT,XML,VARCHAR)","Planning.usp_PerformFinancialClose(INT,VARCHAR,BIT,BIT,BIT,BIT,NVARCHAR,BIT,INT,XML,VARCHAR)",CREATE PROCEDURE,M,Transact,DZ2dAbBcX3Skb4MNB+rC+Q==
6eb54011-ba58-4fdb-84b6-d39159932fda,None,SSC-FDM-0002,Correlated Subquery May Have Functional Differences.,CORRELATED SUBQUERIES MAY HAVE SOME FUNCTIONAL DIFFERENCES.,database_unspecified/planning/procedure/usp_performfinancialclose.sql,505,21,N/A,Planning,N/A,"usp_PerformFinancialClose(INT,VARCHAR,BIT,BIT,BIT,BIT,NVARCHAR,BIT,INT,XML,VARCHAR)","Planning.usp_PerformFinancialClose(INT,VARCHAR,BIT,BIT,BIT,BIT,NVARCHAR,BIT,INT,XML,VARCHAR)",CREATE PROCEDURE,M,Transact,DZ2dAbBcX3Skb4MNB+rC+Q==
6eb54011-ba58-4fdb-84b6-d39159932fda,High,SSC-EWI-0108,This subquery matches a pattern considered invalid and may cause compilation errors,THE FOLLOWING SUBQUERY MATCHES AT LEAST ONE OF THE PATTERNS CONSIDERED INVALID AND MAY PRODUCE COMPILATION ERRORS,database_unspecified/planning/procedure/usp_performfinancialclose.sql,504,21,N/A,Planning,N/A,"usp_PerformFinancialClose(INT,VARCHAR,BIT,BIT,BIT,BIT,NVARCHAR,BIT,INT,XML,VARCHAR)","Planning.usp_PerformFinancialClose(INT,VARCHAR,BIT,BIT,BIT,BIT,NVARCHAR,BIT,INT,XML,VARCHAR)",CREATE PROCEDURE,M,Transact,DZ2dAbBcX3Skb4MNB+rC+Q==
6eb54011-ba58-4fdb-84b6-d39159932fda,None,SSC-FDM-0002,Correlated Subquery May Have Functional Differences.,CORRELATED SUBQUERIES MAY HAVE SOME FUNCTIONAL DIFFERENCES.,database_unspecified/planning/procedure/usp_performfinancialclose.sql,504,21,N/A,Planning,N/A,"usp_PerformFinancialClose(INT,VARCHAR,BIT,BIT,BIT,BIT,NVARCHAR,BIT,INT,XML,VARCHAR)","Planning.usp_PerformFinancialClose(INT,VARCHAR,BIT,BIT,BIT,BIT,NVARCHAR,BIT,INT,XML,VARCHAR)",CREATE PROCEDURE,M,Transact,DZ2dAbBcX3Skb4MNB+rC+Q==
6eb54011-ba58-4fdb-84b6-d39159932fda,High,SSC-EWI-0108,This subquery matches a pattern considered invalid and may cause compilation errors,THE FOLLOWING SUBQUERY MATCHES AT LEAST ONE OF THE PATTERNS CONSIDERED INVALID AND MAY PRODUCE COMPILATION ERRORS,database_unspecified/planning/procedure/usp_performfinancialclose.sql,503,21,N/A,Planning,N/A,"usp_PerformFinancialClose(INT,VARCHAR,BIT,BIT,BIT,BIT,NVARCHAR,BIT,INT,XML,VARCHAR)","Planning.usp_PerformFinancialClose(INT,VARCHAR,BIT,BIT,BIT,BIT,NVARCHAR,BIT,INT,XML,VARCHAR)",CREATE PROCEDURE,M,Transact,DZ2dAbBcX3Skb4MNB+rC+Q==
6eb54011-ba58-4fdb-84b6-d39159932fda,None,SSC-FDM-0002,Correlated Subquery May Have Functional Differences.,CORRELATED SUBQUERIES MAY HAVE SOME FUNCTIONAL DIFFERENCES.,database_unspecified/planning/procedure/usp_performfinancialclose.sql,503,21,N/A,Planning,N/A,"usp_PerformFinancialClose(INT,VARCHAR,BIT,BIT,BIT,BIT,NVARCHAR,BIT,INT,XML,VARCHAR)","Planning.usp_PerformFinancialClose(INT,VARCHAR,BIT,BIT,BIT,BIT,NVARCHAR,BIT,INT,XML,VARCHAR)",CREATE PROCEDURE,M,Transact,DZ2dAbBcX3Skb4MNB+rC+Q==
6eb54011-ba58-4fdb-84b6-d39159932fda,High,SSC-EWI-0108,This subquery matches a pattern considered invalid and may cause compilation errors,THE FOLLOWING SUBQUERY MATCHES AT LEAST ONE OF THE PATTERNS CONSIDERED INVALID AND MAY PRODUCE COMPILATION ERRORS,database_unspecified/planning/procedure/usp_performfinancialclose.sql,502,21,N/A,Planning,N/A,"usp_PerformFinancialClose(INT,VARCHAR,BIT,BIT,BIT,BIT,NVARCHAR,BIT,INT,XML,VARCHAR)","Planning.usp_PerformFinancialClose(INT,VARCHAR,BIT,BIT,BIT,BIT,NVARCHAR,BIT,INT,XML,VARCHAR)",CREATE PROCEDURE,M,Transact,DZ2dAbBcX3Skb4MNB+rC+Q==
6eb54011-ba58-4fdb-84b6-d39159932fda,None,SSC-FDM-0002,Correlated Subquery May Have Functional Differences.,CORRELATED SUBQUERIES MAY HAVE SOME FUNCTIONAL DIFFERENCES.,database_unspecified/planning/procedure/usp_performfinancialclose.sql,502,21,N/A,Planning,N/A,"usp_PerformFinancialClose(INT,VARCHAR,BIT,BIT,BIT,BIT,NVARCHAR,BIT,INT,XML,VARCHAR)","Planning.usp_PerformFinancialClose(INT,VARCHAR,BIT,BIT,BIT,BIT,NVARCHAR,BIT,INT,XML,VARCHAR)",CREATE PROCEDURE,M,Transact,DZ2dAbBcX3Skb4MNB+rC+Q==
6eb54011-ba58-4fdb-84b6-d39159932fda,High,SSC-EWI-0108,This subquery matches a pattern considered invalid and may cause compilation errors,THE FOLLOWING SUBQUERY MATCHES AT LEAST ONE OF THE PATTERNS CONSIDERED INVALID AND MAY PRODUCE COMPILATION ERRORS,database_unspecified/planning/procedure/usp_performfinancialclose.sql,486,13,N/A,Planning,N/A,"usp_PerformFinancialClose(INT,VARCHAR,BIT,BIT,BIT,BIT,NVARCHAR,BIT,INT,XML,VARCHAR)","Planning.usp_PerformFinancialClose(INT,VARCHAR,BIT,BIT,BIT,BIT,NVARCHAR,BIT,INT,XML,VARCHAR)",CREATE PROCEDURE,M,Transact,DZ2dAbBcX3Skb4MNB+rC+Q==
6eb54011-ba58-4fdb-84b6-d39159932fda,None,SSC-FDM-0002,Correlated Subquery May Have Functional Differences.,CORRELATED SUBQUERIES MAY HAVE SOME FUNCTIONAL DIFFERENCES.,database_unspecified/planning/procedure/usp_performfinancialclose.sql,486,13,N/A,Planning,N/A,"usp_PerformFinancialClose(INT,VARCHAR,BIT,BIT,BIT,BIT,NVARCHAR,BIT,INT,XML,VARCHAR)","Planning.usp_PerformFinancialClose(INT,VARCHAR,BIT,BIT,BIT,BIT,NVARCHAR,BIT,INT,XML,VARCHAR)",CREATE PROCEDURE,M,Transact,DZ2dAbBcX3Skb4MNB+rC+Q==
